Tournament selection,118,118,112,119,115,115,112,117,113,115,118,116,126,120,114,115,121,121,119,110,127,116,125,123,120,118,119,120,125,119,117,116,122,123,117,123,120,117,123,117,117,119,125,120,122,127,119,114,122,125,112,115,118,122,117,120,117,113,116,117,119,125,117,116,117,112,114,122,118,119,118,113,118,115,116,112,119,118,115,116,117,116,117,120,120,121,116,116,117,114,122,128,119,121,116,122,121,120,125,115
Fitness proportionate selection,117,116,114,115,124,119,119,113,124,115,119,122,117,120,121,114,114,117,124,116,123,119,118,118,117,114,127,116,119,119,115,115,116,112,114,117,120,115,117,115,116,118,119,120,121,116,117,121,109,123,119,120,119,116,120,121,117,120,119,116,126,118,122,110,112,124,121,120,125,119,116,117,117,118,116,117,116,119,123,118,113,114,122,126,117,119,116,121,117,119,116,120,111,118,118,121,117,118,115,120
